"Taxa";"Env";"yield"
"678";"MN07098-6";"SW-AMPanel_2012_Davis_Irr";6230
"679";"MN07098-6";"SW-AMPanel_2013_Imperial_Irr";6399.3569612681
"680";"MN07098-6";"SW-AMPanel_2013_Imperial_Dry";4697.9213399133
"701";"EXPRESSO";"SW-AMPanel_2012_Davis_Dry";9359.5505617978
"702";"EXPRESSO";"SW-AMPanel_2012_Davis_Irr";5990
"703";"EXPRESSO";"SW-AMPanel_2013_Imperial_Irr";6114.4758486616
"704";"EXPRESSO";"SW-AMPanel_2013_Imperial_Dry";6698.8186032601
"705";"RIL203";"SW-AMPanel_2012_Davis_Dry";6370.7865168539
"706";"RIL203";"SW-AMPanel_2012_Davis_Irr";7910
"707";"RIL203";"SW-AMPanel_2013_Imperial_Irr";6655.0770151039
"708";"RIL203";"SW-AMPanel_2013_Imperial_Dry";3825.3327351578
"713";"MN03148";"SW-AMPanel_2012_Davis_Dry";5898.8764044944
"714";"MN03148";"SW-AMPanel_2012_Davis_Irr";5680
"715";"MN03148";"SW-AMPanel_2013_Imperial_Irr";5304.6956781815
"716";"MN03148";"SW-AMPanel_2013_Imperial_Dry";5552.5646777329
"733";"5600HR";"SW-AMPanel_2012_Davis_Dry";1865.1685393258
"734";"5600HR";"SW-AMPanel_2012_Davis_Irr";2360
"749";"AC_ANDREW";"SW-AMPanel_2012_Davis_Dry";8168.5393258427
"750";"AC_ANDREW";"SW-AMPanel_2012_Davis_Irr";6838
"751";"AC_ANDREW";"SW-AMPanel_2013_Imperial_Irr";4770.8239868401
"752";"AC_ANDREW";"SW-AMPanel_2013_Imperial_Dry";4229.1012412143
"757";"KELSE";"SW-AMPanel_2012_Davis_Dry";7404.4943820225
"758";"KELSE";"SW-AMPanel_2012_Davis_Irr";5800
"759";"KELSE";"SW-AMPanel_2013_Imperial_Irr";5766.7863017796
"760";"KELSE";"SW-AMPanel_2013_Imperial_Dry";4545.3865709586
"761";"9253";"SW-AMPanel_2012_Davis_Dry";5089.8876404494
"762";"9253";"SW-AMPanel_2012_Davis_Irr";6390
"763";"9253";"SW-AMPanel_2013_Imperial_Irr";5156.6472259608
"764";"9253";"SW-AMPanel_2013_Imperial_Dry";4886.3466427396
"765";"CATALDO";"SW-AMPanel_2012_Davis_Dry";7056.1797752809
"766";"CATALDO";"SW-AMPanel_2012_Davis_Irr";5700
"767";"CATALDO";"SW-AMPanel_2013_Imperial_Irr";5982.1295050097
"768";"CATALDO";"SW-AMPanel_2013_Imperial_Dry";5025.4224614924
"769";"IDO852";"SW-AMPanel_2012_Davis_Dry";8247.191011236
"770";"IDO852";"SW-AMPanel_2012_Davis_Irr";8480
"771";"IDO852";"SW-AMPanel_2013_Imperial_Irr";7301.1066247944
"772";"IDO852";"SW-AMPanel_2013_Imperial_Dry";6952.2954987289
"777";"TARA2002";"SW-AMPanel_2012_Davis_Dry";5685.393258427
"778";"TARA2002";"SW-AMPanel_2012_Davis_Irr";5656
